,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
All UCs,21348,22927,24313,24592,24410,24571,24253,25188,25384,24843,24117,23897,23285,23501,23843,23368,23172,23040,22359,23071,21559
Berkeley,20499,21958,23495,24156,23877,23368,23290,24853,25656,25862,25398,24199,23603,24817,26571,26734,26507,26451,26547,26158,24131
Davis,20979,22754,24900,24730,24040,23317,23241,23997,24368,24393,24251,24595,23815,23713,23626,22493,21750,22224,22209,22334,21648
Irvine,21537,22262,24348,24820,24672,25411,25195,25868,25851,24962,23321,22441,21980,21680,21334,21768,22341,21611,18654,20657,19403
Los Angeles,21489,23093,23037,23319,24241,23720,23354,25848,26047,25899,25117,24687,23574,23645,24323,24014,23958,23781,22090,25033,23164
Merced,NA,NA,NA,24405,22556,21108,20838,20923,20944,20248,19339,19191,18641,18447,18073,16512,16278,15668,14120,15820,15938
Riverside,18433,20290,22080,23090,21742,23109,22018,22256,22162,21043,20385,20705,20105,20658,20706,19527,19385,19027,19239,19583,18598
San Diego,21666,22910,23906,23674,23744,24356,24074,24045,24320,23631,23413,23452,23471,23964,23907,23081,23334,22949,22165,23043,20446
Santa Barbara,22799,25161,27033,27158,26979,27499,27267,28077,27985,26370,26308,27061,25639,25703,26317,25989,25209,25174,25366,25351,23640
Santa Cruz,23771,25636,26405,26650,26534,27402,26989,27806,28291,28084,26064,25680,25822,25776,26366,26430,26041,27185,27817,25880,24236
