,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
All UCs,12310,13575,14795,15519,15986,16613,17004,17550,17967,18116,17994,18087,17924,18293,18909,19063,19636,20100,19848,21449,21559
Berkeley,"$11,820","$13,001","$14,297","$15,244","$15,637","$15,799","$16,329","$17,316","$18,159","$18,859","$18,950","$18,316","$18,169","$19,317","$21,072","$21,809","$22,462","$23,076","$23,566","$24,319","$24,131"
Davis,"$12,097","$13,473","$15,152","$15,606","$15,744","$15,765","$16,295","$16,720","$17,247","$17,787","$18,094","$18,615","$18,332","$18,459","$18,736","$18,350","$18,431","$19,388","$19,715","$20,764","$21,648"
Irvine,"$12,419","$13,181","$14,816","$15,663","$16,158","$17,180","$17,665","$18,024","$18,297","$18,203","$17,400","$16,985","$16,920","$16,875","$16,919","$17,758","$18,932","$18,854","$16,560","$19,205","$19,403"
Los Angeles,"$12,391","$13,673","$14,019","$14,716","$15,875","$16,037","$16,374","$18,010","$18,436","$18,886","$18,740","$18,685","$18,147","$18,405","$19,290","$19,590","$20,301","$20,747","$19,609","$23,273","$23,164"
Merced,NA,NA,NA,"$15,401","$14,772","$14,271","$14,610","$14,579","$14,824","$14,765","$14,429","$14,525","$14,349","$14,359","$14,333","$13,470","$13,794","$13,669","$12,535","$14,707","$15,938"
Riverside,"$10,629","$12,014","$13,436","$14,572","$14,239","$15,624","$15,438","$15,507","$15,686","$15,345","$15,209","$15,671","$15,476","$16,080","$16,421","$15,930","$16,427","$16,599","$17,079","$18,206","$18,598"
San Diego,"$12,493","$13,565","$14,548","$14,940","$15,550","$16,467","$16,879","$16,754","$17,213","$17,232","$17,469","$17,750","$18,068","$18,653","$18,959","$18,829","$19,773","$20,021","$19,676","$21,423","$20,446"
Santa Barbara,"$13,147","$14,898","$16,450","$17,139","$17,669","$18,592","$19,118","$19,563","$19,807","$19,229","$19,628","$20,481","$19,736","$20,007","$20,871","$21,202","$21,361","$21,962","$22,518","$23,569","$23,640"
Santa Cruz,"$13,707","$15,179","$16,068","$16,818","$17,377","$18,526","$18,923","$19,374","$20,024","$20,479","$19,446","$19,436","$19,877","$20,064","$20,909","$21,562","$22,067","$23,716","$24,694","$24,060","$24,236"
